PING 10.5.16.152 (10.5.16.152) 64(92) bytes of data.
520 bytes from 10.5.16.152: icmp_seq=48 ttl=60 time=2.65 ms
520 bytes from 10.5.16.152: icmp_seq=49 ttl=60 time=2.53 ms
520 bytes from 10.5.16.152: icmp_seq=50 ttl=60 time=2.81 ms
520 bytes from 10.5.16.152: icmp_seq=51 ttl=60 time=3.00 ms
520 bytes from 10.5.16.152: icmp_seq=52 ttl=60 time=4.74 ms
520 bytes from 10.5.16.152: icmp_seq=53 ttl=60 time=3.10 ms
520 bytes from 10.5.16.152: icmp_seq=54 ttl=60 time=3.47 ms
520 bytes from 10.5.16.152: icmp_seq=55 ttl=60 time=3.26 ms
520 bytes from 10.5.16.152: icmp_seq=56 ttl=60 time=3.39 ms
520 bytes from 10.5.16.152: icmp_seq=57 ttl=60 time=3.72 ms
520 bytes from 10.5.16.152: icmp_seq=58 ttl=60 time=3.30 ms
520 bytes from 10.5.16.152: icmp_seq=59 ttl=60 time=5.47 ms
520 bytes from 10.5.16.152: icmp_seq=60 ttl=60 time=5.22 ms
520 bytes from 10.5.16.152: icmp_seq=61 ttl=60 time=3.49 ms
520 bytes from 10.5.16.152: icmp_seq=62 ttl=60 time=2.62 ms
520 bytes from 10.5.16.152: icmp_seq=63 ttl=60 time=3.52 ms
520 bytes from 10.5.16.152: icmp_seq=64 ttl=60 time=2.90 ms
520 bytes from 10.5.16.152: icmp_seq=65 ttl=60 time=18.0 ms
520 bytes from 10.5.16.152: icmp_seq=66 ttl=60 time=15.2 ms
520 bytes from 10.5.16.152: icmp_seq=67 ttl=60 time=19.3 ms
520 bytes from 10.5.16.152: icmp_seq=68 ttl=60 time=6.06 ms
520 bytes from 10.5.16.152: icmp_seq=69 ttl=60 time=3.26 ms
520 bytes from 10.5.16.152: icmp_seq=70 ttl=60 time=2.75 ms
520 bytes from 10.5.16.152: icmp_seq=71 ttl=60 time=3.35 ms
520 bytes from 10.5.16.152: icmp_seq=72 ttl=60 time=4.97 ms
520 bytes from 10.5.16.152: icmp_seq=73 ttl=60 time=3.25 ms
520 bytes from 10.5.16.152: icmp_seq=74 ttl=60 time=7.62 ms
520 bytes from 10.5.16.152: icmp_seq=75 ttl=60 time=3.11 ms
520 bytes from 10.5.16.152: icmp_seq=76 ttl=60 time=3.42 ms
520 bytes from 10.5.16.152: icmp_seq=77 ttl=60 time=3.50 ms
520 bytes from 10.5.16.152: icmp_seq=78 ttl=60 time=2.53 ms
520 bytes from 10.5.16.152: icmp_seq=79 ttl=60 time=5.30 ms
520 bytes from 10.5.16.152: icmp_seq=80 ttl=60 time=8.23 ms
520 bytes from 10.5.16.152: icmp_seq=81 ttl=60 time=3.25 ms
520 bytes from 10.5.16.152: icmp_seq=82 ttl=60 time=3.14 ms
520 bytes from 10.5.16.152: icmp_seq=83 ttl=60 time=3.63 ms
520 bytes from 10.5.16.152: icmp_seq=84 ttl=60 time=4.38 ms
520 bytes from 10.5.16.152: icmp_seq=85 ttl=60 time=2.90 ms
520 bytes from 10.5.16.152: icmp_seq=86 ttl=60 time=2.02 ms
520 bytes from 10.5.16.152: icmp_seq=87 ttl=60 time=3.66 ms
520 bytes from 10.5.16.152: icmp_seq=88 ttl=60 time=2.53 ms
520 bytes from 10.5.16.152: icmp_seq=89 ttl=60 time=2.53 ms
520 bytes from 10.5.16.152: icmp_seq=90 ttl=60 time=4.02 ms
520 bytes from 10.5.16.152: icmp_seq=91 ttl=60 time=3.03 ms
520 bytes from 10.5.16.152: icmp_seq=92 ttl=60 time=10.2 ms
520 bytes from 10.5.16.152: icmp_seq=93 ttl=60 time=2.33 ms
520 bytes from 10.5.16.152: icmp_seq=94 ttl=60 time=2.95 ms
520 bytes from 10.5.16.152: icmp_seq=95 ttl=60 time=2.56 ms
520 bytes from 10.5.16.152: icmp_seq=96 ttl=60 time=2.55 ms
520 bytes from 10.5.16.152: icmp_seq=97 ttl=60 time=3.22 ms
520 bytes from 10.5.16.152: icmp_seq=98 ttl=60 time=2.59 ms
520 bytes from 10.5.16.152: icmp_seq=99 ttl=60 time=3.15 ms
520 bytes from 10.5.16.152: icmp_seq=100 ttl=60 time=20.8 ms

--- 10.5.16.152 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99161ms
rtt min/avg/max/mdev = 2.022/5.728/108.936/10.999 ms
